applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1000,Female,SC,Muslim,Bihar,25423,578,200000,Salaried,Graduate,1,0
IND1001,Male,General,Hindu,Maharashtra,85432,745,500000,Salaried,Graduate,0,1
IND1002,Female,OBC,Muslim,Uttar Pradesh,32187,612,200000,Self-Employed,12th Pass,2,0
IND1003,Male,General,Hindu,Gujarat,65421,723,500000,Salaried,Post-Graduate,1,1
IND1004,Female,SC,Christian,Tamil Nadu,28765,589,100000,Daily Wage,10th Pass,3,0
IND1005,Male,OBC,Hindu,Rajasthan,45678,654,200000,Salaried,Graduate,1,1
IND1006,Female,SC,Muslim,Bihar,19876,543,100000,Gig Worker,12th Pass,2,0
IND1007,Male,General,Hindu,Maharashtra,92345,789,750000,Salaried,Post-Graduate,0,1
IND1008,Female,OBC,Muslim,Uttar Pradesh,35432,634,200000,Self-Employed,Graduate,2,1
IND1009,Male,General,Hindu,Gujarat,71234,756,500000,Salaried,Post-Graduate,1,1
IND1010,Female,SC,Christian,Tamil Nadu,23456,567,100000,Daily Wage,10th Pass,3,0
IND1011,Male,OBC,Hindu,Rajasthan,48765,667,200000,Salaried,Graduate,1,1
IND1012,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1013,Male,General,Hindu,Maharashtra,87654,777,750000,Salaried,Post-Graduate,0,1
IND1014,Female,OBC,Muslim,Uttar Pradesh,37890,645,200000,Self-Employed,Graduate,2,1
IND1015,Male,General,Hindu,Gujarat,69876,743,500000,Salaried,Post-Graduate,1,1
IND1016,Female,SC,Christian,Tamil Nadu,24567,578,100000,Daily Wage,10th Pass,3,0
IND1017,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1018,Female,SC,Muslim,Bihar,18765,534,100000,Gig Worker,12th Pass,2,0
IND1019,Male,General,Hindu,Maharashtra,93456,798,1000000,Salaried,Post-Graduate,0,1
IND1020,Female,OBC,Muslim,Uttar Pradesh,34567,623,200000,Self-Employed,Graduate,2,1
IND1021,Male,General,Hindu,Gujarat,72345,765,750000,Salaried,Post-Graduate,1,1
IND1022,Female,SC,Christian,Tamil Nadu,27890,598,200000,Daily Wage,12th Pass,3,0
IND1023,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1024,Female,SC,Muslim,Bihar,22345,567,100000,Gig Worker,12th Pass,2,0
IND1025,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1026,Female,OBC,Muslim,Uttar Pradesh,36789,654,200000,Self-Employed,Graduate,2,1
IND1027,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1028,Female,SC,Christian,Tamil Nadu,25678,587,100000,Daily Wage,10th Pass,3,0
IND1029,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1030,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1031,Male,General,Hindu,Maharashtra,88901,787,1000000,Salaried,Post-Graduate,0,1
IND1032,Female,OBC,Muslim,Uttar Pradesh,33456,619,200000,Self-Employed,Graduate,2,1
IND1033,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1034,Female,SC,Christian,Tamil Nadu,26789,599,200000,Daily Wage,12th Pass,3,0
IND1035,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1036,Female,SC,Muslim,Bihar,21456,569,100000,Gig Worker,12th Pass,2,0
IND1037,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1038,Female,OBC,Muslim,Uttar Pradesh,35678,637,200000,Self-Employed,Graduate,2,1
IND1039,Male,General,Hindu,Gujarat,71567,751,500000,Salaried,Post-Graduate,1,1
IND1040,Female,SC,Christian,Tamil Nadu,23901,577,100000,Daily Wage,10th Pass,3,0
IND1041,Male,OBC,Hindu,Rajasthan,47890,665,200000,Salaried,Graduate,1,1
IND1042,Female,SC,Muslim,Bihar,19567,545,100000,Gig Worker,12th Pass,2,0
IND1043,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1044,Female,OBC,Muslim,Uttar Pradesh,34678,627,200000,Self-Employed,Graduate,2,1
IND1045,Male,General,Hindu,Gujarat,69789,741,500000,Salaried,Post-Graduate,1,1
IND1046,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1047,Male,OBC,Hindu,Rajasthan,43456,653,200000,Salaried,Graduate,1,1
IND1048,Female,SC,Muslim,Bihar,20789,562,100000,Gig Worker,12th Pass,2,0
IND1049,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1050,Female,OBC,Muslim,Uttar Pradesh,36890,648,200000,Self-Employed,Graduate,2,1
IND1051,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1052,Female,SC,Christian,Tamil Nadu,25789,593,100000,Daily Wage,10th Pass,3,0
IND1053,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1054,Female,SC,Muslim,Bihar,21890,571,100000,Gig Worker,12th Pass,2,0
IND1055,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1056,Female,OBC,Muslim,Uttar Pradesh,32345,613,200000,Self-Employed,Graduate,2,1
IND1057,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1058,Female,SC,Christian,Tamil Nadu,26901,601,200000,Daily Wage,12th Pass,3,0
IND1059,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1060,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1061,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1062,Female,OBC,Muslim,Uttar Pradesh,33567,621,200000,Self-Employed,Graduate,2,1
IND1063,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1064,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1065,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1066,Female,SC,Muslim,Bihar,21345,568,100000,Gig Worker,12th Pass,2,0
IND1067,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1068,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1069,Male,General,Hindu,Gujarat,70123,746,750000,Salaried,Post-Graduate,1,1
IND1070,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1071,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1072,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1073,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1074,Female,OBC,Muslim,Uttar Pradesh,34678,627,200000,Self-Employed,Graduate,2,1
IND1075,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1076,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1077,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1078,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1079,Male,General,Hindu,Maharashtra,83456,749,750000,Salaried,Post-Graduate,0,1
IND1080,Female,OBC,Muslim,Uttar Pradesh,36123,642,200000,Self-Employed,Graduate,2,1
IND1081,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1082,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1083,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1084,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1085,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1086,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1087,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1088,Female,SC,Christian,Tamil Nadu,23901,577,100000,Daily Wage,10th Pass,3,0
IND1089,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1090,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1091,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1092,Female,OBC,Muslim,Uttar Pradesh,33789,624,200000,Self-Employed,Graduate,2,1
IND1093,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1094,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1095,Male,OBC,Hindu,Rajasthan,43456,653,200000,Salaried,Graduate,1,1
IND1096,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1097,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1098,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1099,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1100,Female,SC,Christian,Tamil Nadu,27678,598,200000,Daily Wage,12th Pass,3,0
IND1101,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1102,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1103,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1104,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1105,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1106,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1107,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1108,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1109,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1110,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1111,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1112,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1113,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1114,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1115,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1116,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1117,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1118,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1119,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1120,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1121,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1122,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1123,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1124,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1125,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1126,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1127,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1128,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1129,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1130,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1131,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1132,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1133,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1134,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1135,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1136,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1137,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1138,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1139,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1140,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1141,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1142,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1143,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1144,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1145,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1146,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1147,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1148,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1149,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1150,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1151,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1152,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1153,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1154,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1155,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1156,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1157,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1158,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1159,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1160,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1161,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1162,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1163,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1164,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1165,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1166,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1167,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1168,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1169,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1170,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1171,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1172,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1173,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1174,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1175,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1176,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1177,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1178,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1179,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1180,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1181,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1182,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1183,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1184,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1185,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1186,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1187,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1188,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1189,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1190,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1191,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1192,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1193,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1194,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1195,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1196,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1197,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1198,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
